epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10534.6,0.84478,0.52608,1.08163,0.88176,0.88781,0.93282,0.72103,0.77831,0.43823,1.09758,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10856.9,0.83931,0.51792,1.07462,0.89557,0.88657,0.93649,0.72812,0.76804,0.42057,1.0835,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11179,0.82939,0.51478,1.07256,0.89849,0.88493,0.93625,0.72885,0.7687,0.42231,1.0769,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11500.7,0.824,0.50837,1.06716,0.89407,0.88681,0.93604,0.73069,0.76422,0.41905,1.08149,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11822.7,0.82218,0.50953,1.06988,0.9,0.88812,0.93875,0.73208,0.76589,0.41619,1.08624,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12145.5,0.81601,0.50296,1.06798,0.89132,0.88425,0.93581,0.73278,0.76017,0.40851,1.08254,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12468.1,0.81376,0.49663,1.06523,0.89714,0.88535,0.9376,0.73457,0.75719,0.40964,1.0761,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12797,0.81755,0.50144,1.06932,0.89167,0.89063,0.9358,0.7333,0.75504,0.40467,1.07474,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,13125.8,0.81014,0.49439,1.06462,0.897,0.8873,0.93918,0.73557,0.75404,0.40867,1.07626,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13450.4,0.81032,0.4923,1.05994,0.89714,0.89499,0.94127,0.73723,0.75434,0.40708,1.07452,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
