epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4923.49,0.92876,0.57637,0.99727,0.8764,0.83267,0.91513,0.67824,0.9363,0.52342,1.00536,0.0007294,0.0007294,0.0007294
43,5031.3,0.93796,0.57884,0.9986,0.86807,0.83554,0.91671,0.68531,0.92656,0.52084,1.00355,0.0007228,0.0007228,0.0007228
44,5144.94,0.93693,0.57625,0.9983,0.8616,0.84536,0.91415,0.6785,0.92921,0.51894,1.00789,0.0007162,0.0007162,0.0007162
45,5255.59,0.9275,0.56842,0.99476,0.87909,0.8472,0.92048,0.68556,0.92613,0.5152,1.00078,0.0007096,0.0007096,0.0007096
46,5363.92,0.93055,0.56993,0.99641,0.86739,0.8516,0.91832,0.6847,0.92276,0.51096,1.00142,0.000703,0.000703,0.000703
47,5472.32,0.92798,0.57037,0.99885,0.87451,0.85574,0.92184,0.68384,0.93303,0.51443,1.00721,0.0006964,0.0006964,0.0006964
48,5580.24,0.92569,0.56376,0.99652,0.88572,0.8384,0.92038,0.68677,0.91993,0.50598,1.0017,0.0006898,0.0006898,0.0006898
49,5710.22,0.92695,0.56795,0.99473,0.87953,0.85895,0.92566,0.6889,0.91555,0.50391,1.00059,0.0006832,0.0006832,0.0006832
50,5950.13,0.91727,0.55559,0.99244,0.87466,0.85603,0.92298,0.68929,0.92236,0.5042,1.00001,0.0006766,0.0006766,0.0006766
51,6245.59,0.91534,0.55743,0.98953,0.89444,0.84007,0.92701,0.69073,0.91293,0.50218,0.99823,0.00067,0.00067,0.00067
52,6500.35,0.91677,0.55419,0.98952,0.88509,0.85444,0.92679,0.69553,0.90912,0.49285,0.99493,0.0006634,0.0006634,0.0006634
53,6675.07,0.9182,0.55581,0.99068,0.88393,0.85309,0.92485,0.69512,0.90976,0.49757,0.9991,0.0006568,0.0006568,0.0006568
54,6847.12,0.90875,0.54829,0.98797,0.88241,0.86143,0.92987,0.69905,0.90315,0.49716,0.99356,0.0006502,0.0006502,0.0006502
55,7022.47,0.91167,0.55119,0.98756,0.87586,0.86343,0.92471,0.69569,0.90577,0.49697,0.99139,0.0006436,0.0006436,0.0006436
56,7221.19,0.90216,0.54626,0.98452,0.89257,0.84941,0.93003,0.6974,0.90363,0.49458,0.99256,0.000637,0.000637,0.000637
57,7390.19,0.90311,0.54714,0.98695,0.87699,0.86263,0.92787,0.69546,0.91147,0.49476,0.99411,0.0006304,0.0006304,0.0006304
58,7552.94,0.89676,0.54074,0.98467,0.87823,0.8693,0.93075,0.69892,0.90611,0.48585,0.99046,0.0006238,0.0006238,0.0006238
59,7717.08,0.9027,0.54283,0.98475,0.89873,0.85686,0.93389,0.69829,0.9133,0.48257,0.99267,0.0006172,0.0006172,0.0006172
60,7883.7,0.89838,0.53982,0.98487,0.87994,0.86183,0.92532,0.69972,0.89697,0.49074,0.99242,0.0006106,0.0006106,0.0006106
61,8050.81,0.89399,0.53848,0.98259,0.88766,0.85244,0.9297,0.70156,0.8958,0.4873,0.98854,0.000604,0.000604,0.000604
62,8215.39,0.89481,0.53394,0.98066,0.87826,0.86858,0.93002,0.70408,0.89233,0.4832,0.98785,0.0005974,0.0005974,0.0005974
63,8344.44,0.89161,0.53271,0.97986,0.88471,0.85306,0.93119,0.69991,0.89224,0.48379,0.98565,0.0005908,0.0005908,0.0005908
64,8457.04,0.88656,0.52933,0.97745,0.89758,0.85601,0.93226,0.70493,0.89061,0.47905,0.98407,0.0005842,0.0005842,0.0005842
65,8561.09,0.88103,0.52313,0.97721,0.87816,0.86931,0.92762,0.70102,0.89333,0.48344,0.98828,0.0005776,0.0005776,0.0005776
66,8662.19,0.88532,0.52899,0.97812,0.89073,0.86424,0.93197,0.70513,0.88885,0.47785,0.98568,0.000571,0.000571,0.000571
67,8772,0.88621,0.5308,0.98,0.89413,0.85797,0.93298,0.70609,0.88313,0.47497,0.98298,0.0005644,0.0005644,0.0005644
68,8879.6,0.87432,0.52127,0.97622,0.88993,0.86041,0.93633,0.71007,0.88413,0.47248,0.98344,0.0005578,0.0005578,0.0005578
69,8993.07,0.88257,0.52313,0.97429,0.88342,0.87123,0.93359,0.71004,0.88138,0.47474,0.9812,0.0005512,0.0005512,0.0005512
70,9099.35,0.88004,0.52137,0.97515,0.87276,0.87907,0.93415,0.70698,0.884,0.4762,0.98509,0.0005446,0.0005446,0.0005446
71,9197.07,0.87443,0.52148,0.97341,0.88776,0.87092,0.9389,0.712,0.8786,0.46849,0.98227,0.000538,0.000538,0.000538
72,9294.83,0.87142,0.51619,0.97338,0.89308,0.85627,0.93904,0.71311,0.87551,0.46782,0.97958,0.0005314,0.0005314,0.0005314
73,9402.72,0.87007,0.5174,0.97182,0.89051,0.86832,0.93778,0.71249,0.87388,0.46645,0.97902,0.0005248,0.0005248,0.0005248
74,9511.44,0.86739,0.51533,0.97425,0.89723,0.86055,0.93928,0.71514,0.87147,0.46369,0.97579,0.0005182,0.0005182,0.0005182
75,9624.47,0.8723,0.5146,0.97181,0.89074,0.87689,0.93971,0.71433,0.87369,0.46388,0.97916,0.0005116,0.0005116,0.0005116
